City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,edinburgh of the seven seas,-37.0676,-12.3116,55.47,78,100,14.65,SH,1731377247
84,petersaurach,49.3,10.75,41.11,93,100,5.75,DE,1731377248
85,port saint john's,-31.6229,29.5448,63.57,89,100,2.86,ZA,1731377250
86,papatowai,-46.5619,169.4708,59.97,48,69,10.92,NZ,1731377251
87,qarah bagh,34.9402,61.7759,48.6,42,0,4.29,AF,1731377252
88,alofi,-19.0595,-169.9187,71.49,94,100,11.5,NU,1731377253
89,ancud,-41.8697,-73.8203,50.49,88,100,9.86,CL,1731377254
90,kolonia,50.9333,6.95,48.94,93,75,3.44,DE,1731377206
91,hammerfest,70.6634,23.6821,41.45,93,100,6.91,NO,1731377257
92,utrik,11.2278,169.8474,83.37,77,29,16.44,MH,1731377258
93,san mateo del mar,16.2,-95.0,80.87,78,12,28.1,MX,1731377259
94,chonchi,-42.6128,-73.8092,51.12,96,99,3.74,CL,1731377261
95,namibe,-15.1961,12.1522,70.74,72,10,5.84,AO,1731377262
96,quellon,-43.1167,-73.6167,48.7,93,100,7.43,CL,1731377090
97,franca,-20.5386,-47.4008,71.49,62,71,0.87,BR,1731377264
98,bir el ater,34.7449,8.0602,54.59,71,84,11.25,DZ,1731377265
99,olonkinbyen,70.9221,-8.7187,33.24,98,100,25.12,SJ,1731377267
100,isafjordur,66.0755,-23.124,47.7,89,100,22.84,IS,1731377268
101,madinat ash shamal,26.1293,51.2009,78.78,70,0,6.22,QA,1731377269
102,cetinje,42.3906,18.9142,39.15,69,0,8.37,ME,1731377270
103,bagerhat,22.6554,89.7972,74.12,68,93,5.41,BD,1731377271
104,nova sintra,14.8667,-24.7167,80.73,68,57,16.89,CV,1731377273
105,khandyga,62.6667,135.6,-3.35,94,92,1.86,RU,1731377274
106,mount isa,-20.7333,139.5,99.7,18,86,0.47,AU,1731377275
107,tolanaro,-25.0319,46.9987,73.81,80,97,2.48,MG,1731377276
108,beyneu,45.3167,55.2,40.98,62,100,6.89,KZ,1731377277
109,fort mcmurray,56.7268,-111.381,32.18,81,100,6.06,CA,1731377279
110,broken hill,-31.95,141.4333,82.89,33,27,16.44,AU,1731377280
111,jamestown,42.097,-79.2353,46.02,80,100,14.97,US,1731377264
112,al qubbah,32.7616,22.2424,58.8,63,3,10.65,LY,1731377282
113,belyy yar,53.6039,91.3903,33.69,55,0,13.42,RU,1731377284
114,smiths station,32.5401,-85.0985,67.41,88,0,0.0,US,1731377285
115,yeraliyev,43.2,51.65,43.72,81,100,10.49,KZ,1731377286
116,belmonte,-15.8631,-38.8828,72.18,93,35,4.47,BR,1731377287
117,bununu,9.8681,9.6628,68.4,40,26,3.29,NG,1731377288
118,ebstorf,53.0279,10.4184,42.82,96,75,9.22,DE,1731377097
119,tsiombe,-25.3,45.4833,70.43,95,96,0.78,MG,1731377291
120,margaret river,-33.95,115.0667,62.26,68,92,10.0,AU,1731377292
121,wailua homesteads,22.0669,-159.378,77.79,88,100,14.97,US,1731377293
